"","X","LGA","variable.x","Homicides","Assaults","Sexual Offences","Abductions","Robberies","Blackmail","A70.Stalking..harassment.and.threatening.behaviour","A80.Dangerous.and.negligent.acts.endangering.people","B10.Arson","B20.Property.damage","B30.Burglary.Break.and.enter","B40.Theft","B50.Deception","B60.Bribery","Drug.Dealing","C20.Cultivate.or.manufacture.drugs","C30.Drug.use.and.possession","C90.Other.drug.offences","D10.Weapons.and.explosives.offences","D20.Disorderly.and.offensive.conduct","D30.Public.nuisance.offences","D40.Public.security.offences","E10.Justice.procedures","E20.Breaches.of.orders","F10.Regulatory.driving.offences","F20.Transport.regulation.offences","F30.Other.government.regulatory.offences","F90.Miscellaneous.offences","variable.y","X..Employment.to.population","X..Labour.force.participation","Unemployment.Rate","Advanced.Diploma.and.Diploma.Level","Bachelor.Degrees","Certificate.Education","Certificate.III...IV.Level","Certificate.Level..nfd","Employed..away.from.work","Employed..worked.full.time","Employed..worked.part.time","Graduate.Diploma.and.Graduate.Certificate.Level","Lived.at.different.address.1.year.ago","Lived.at.different.address.5.years.ago","Lived.at.same.address.1.year.ago","Lived.at.same.address.5.years.ago","Not.in.the.labour.force","Persons.aged.15.years.and.over","Postgraduate.Degree.Level","Total.Certificate.Level","Total.Labour.Force","Unemployed..looking.for.work","Region","X2007.08","X2008.09","X2009.10","X2010.11","X2011.12","X2012.13","X2013.14","X2014.15","X2015.16","Drug.Hospitalisations","All","variable","X.1..199.......","Low.Income.Households","High.Income.Households","X.200..299...","X.300..399","X.400..599","X.600..799","X.800..999."
"57",57,"NILLUMBIK","as.numeric(as.character(cr2$Incidents.Recorded))",12,1408,391,12,56,2,336,158,222,3053,2409,5951,512,NA,70,49,378,NA,197,272,77,2,139,724,NA,13,22,23,"Value",66.2,69.2,4.3,5386,9307,367,8087,876,1520,18981,12078,1917,5048,15747,52002,39693,13146,49213,2761,9333,34033,1457,"north/west",54,57,36,41,75,51,69,107,152,133,16488,"as.numeric(as.character(inc$Value))",8558,8552,3991,6360,6968,10094,9412,8170
"58",58,"NORTHERN GRAMPIANS","as.numeric(as.character(cr2$Incidents.Recorded))",4,1064,216,7,4,5,203,134,171,1462,571,1568,128,NA,70,47,545,NA,234,523,114,NA,119,543,NA,11,41,23,"Value",49.9,52.7,5.2,700,720,144,1739,187,351,2794,1712,123,1259,3110,9137,6922,3914,9724,107,2074,5121,266,"grampians",18,16,12,29,27,30,19,23,23,22,7807,"as.numeric(as.character(inc$Value))",1580,1106,380,2802,2824,3086,2368,1508
"59",59,"PORT PHILLIP","as.numeric(as.character(cr2$Incidents.Recorded))",32,7069,1158,65,795,38,866,431,365,7093,10892,14546,4548,2,665,112,2597,6,1570,6826,324,22,676,2202,9,36,575,18,"Value",64.8,68.2,5.1,8494,25567,521,7197,1245,2416,40825,14466,3472,21715,50708,65530,34938,19028,89077,9781,8967,60782,3075,"southern",291,236,332,290,387,399,400,663,850,762,63538,"as.numeric(as.character(inc$Value))",6350,16240,10061,9618,10118,12080,13032,13812
"60",60,"PYRENEES","as.numeric(as.character(cr2$Incidents.Recorded))",10,295,86,2,2,NA,55,45,90,319,573,954,49,NA,26,15,68,NA,58,52,16,NA,19,110,1,7,10,18,"Value",43.8,46.6,6.2,479,422,78,1037,117,207,1483,981,85,630,1806,5520,4065,2772,6105,74,1224,2844,176,"grampians",NA,NA,8,6,6,NA,9,8,12,11,2880,"as.numeric(as.character(inc$Value))",896,530,147,1810,1740,1634,1216,718
"61",61,"QUEENSCLIFFE","as.numeric(as.character(cr2$Incidents.Recorded))",2,52,23,2,1,NA,6,4,11,183,230,525,13,NA,NA,3,10,NA,5,45,7,NA,12,22,NA,6,1,NA,"Value",41.4,42.9,3.1,333,521,12,247,53,70,506,468,105,280,850,2265,1670,1230,2523,163,306,1083,34,"barwon",0,NA,NA,0,0,NA,NA,NA,12,8,1163,"as.numeric(as.character(inc$Value))",312,420,147,470,600,824,582,338
"62",62,"SOUTH GIPPSLAND","as.numeric(as.character(cr2$Incidents.Recorded))",14,1077,313,13,13,5,250,136,126,1389,1341,2383,211,1,80,66,265,NA,199,509,58,1,115,840,NA,14,28,15,"Value",51.7,54.3,4.9,1949,2126,282,4797,461,866,6653,4671,457,3262,8653,22567,16038,8927,23581,408,5541,12810,626,"gippsland",26,27,30,20,36,36,29,46,44,72,9462,"as.numeric(as.character(inc$Value))",3670,3092,1155,5506,5770,6570,4946,3614
"63",63,"SOUTHERN GRAMPIANS","as.numeric(as.character(cr2$Incidents.Recorded))",12,900,230,4,5,2,134,104,99,1506,649,1930,167,NA,55,35,333,NA,182,696,92,NA,127,655,1,2,48,23,"Value",54.9,57.4,4.4,1080,1296,206,2511,242,479,4127,2643,236,1814,4416,12872,9623,4774,13199,233,2962,7581,335,"barwon",22,32,19,20,25,25,17,24,39,37,7991,"as.numeric(as.character(inc$Value))",2084,1804,685,3146,3564,4018,3398,2364
"64",64,"STONNINGTON","as.numeric(as.character(cr2$Incidents.Recorded))",35,4981,777,52,541,40,626,417,187,7598,10831,18070,4794,2,463,90,2055,3,970,4662,174,17,405,1643,4,34,155,20,"Value",62.2,65.6,5.2,8257,29156,408,5353,1202,2204,38154,16178,3313,21701,50206,71345,41451,24380,90965,10373,6962,59646,3112,"southern",224,134,190,190,199,291,367,498,398,413,59646,"as.numeric(as.character(inc$Value))",8670,14292,8669,9844,9788,12342,12996,12810
"65",65,"STRATHBOGIE","as.numeric(as.character(cr2$Incidents.Recorded))",4,395,116,4,7,2,84,81,64,439,545,1087,107,1,27,36,150,NA,90,151,16,NA,50,152,1,16,33,13,"Value",49.9,52.2,4.6,794,788,87,1621,161,317,2480,1580,158,1159,3127,8092,5792,3430,8763,138,1870,4578,210,"hume",7,NA,11,8,7,7,12,7,10,19,3671,"as.numeric(as.character(inc$Value))",1160,1042,345,2290,2218,2482,1846,1188
"66",66,"SURF COAST","as.numeric(as.character(cr2$Incidents.Recorded))",8,693,203,7,14,1,109,76,110,1742,1688,4338,250,NA,41,43,189,NA,95,716,50,NA,79,234,NA,20,34,4,"Value",60.3,62.7,3.8,2715,4472,211,3966,414,829,7796,5457,761,4234,10946,22632,14854,7375,23345,1071,4588,14637,558,"barwon",13,18,23,20,29,34,40,36,35,48,10744,"as.numeric(as.character(inc$Value))",3304,3386,1467,3638,3864,5170,4372,3312
"67",67,"SWAN HILL","as.numeric(as.character(cr2$Incidents.Recorded))",14,2351,319,11,30,3,322,222,217,2271,1309,3265,372,1,179,54,605,NA,460,1364,97,2,338,1796,1,7,63,24,"Value",51.5,54.3,5.1,1103,1167,189,2751,257,610,5256,2705,205,2273,5889,15371,10777,5544,16646,129,3193,9032,462,"loddon",21,24,31,14,21,31,32,48,49,52,15697,"as.numeric(as.character(inc$Value))",2440,2070,732,4000,4158,4814,4328,2650
"68",68,"TOWONG","as.numeric(as.character(cr2$Incidents.Recorded))",4,228,72,1,1,NA,68,23,35,239,186,446,24,NA,5,19,45,NA,62,146,14,NA,19,76,NA,1,8,14,"Value",53.1,55.8,4.6,450,408,77,1100,106,216,1551,899,88,611,1595,4793,3628,1846,5023,70,1288,2805,129,"hume",NA,NA,NA,NA,6,8,NA,NA,NA,7,1736,"as.numeric(as.character(inc$Value))",788,658,220,1302,1338,1426,1062,792
"69",69,"WANGARATTA","as.numeric(as.character(cr2$Incidents.Recorded))",17,1847,300,10,12,5,321,235,236,2397,1083,4222,389,1,220,108,751,2,429,2111,136,3,337,1200,3,7,64,92,"Value",54.4,57,4.6,2149,2334,283,4499,431,812,7163,4645,522,3195,8511,22426,16091,8140,23209,421,5211,13229,615,"hume",22,20,15,28,29,33,44,43,60,72,16538,"as.numeric(as.character(inc$Value))",3684,3144,1047,5316,5694,6386,5684,3760
"70",70,"WARRNAMBOOL","as.numeric(as.character(cr2$Incidents.Recorded))",4,2631,463,21,44,3,415,292,197,3676,1874,4889,659,NA,259,65,778,3,507,1569,157,1,382,1735,5,9,184,19,"Value",56.6,59.8,5.2,2275,3128,347,5052,440,966,8643,5990,595,4830,12064,25378,17009,9029,27546,567,5838,16460,863,"barwon",92,80,81,90,79,74,61,80,96,127,20841,"as.numeric(as.character(inc$Value))",4250,3876,1614,5822,5916,7392,6460,4520
"71",71,"WELLINGTON","as.numeric(as.character(cr2$Incidents.Recorded))",16,3380,664,19,33,7,672,254,447,3990,4178,7240,655,1,140,128,576,NA,574,1088,216,NA,396,2024,4,22,64,30,"Value",50.7,54.1,6.2,2739,2930,434,7325,625,1254,10425,6264,621,5153,13275,32746,22979,13474,35358,503,8381,19141,1196,"gippsland",48,88,57,68,62,57,52,105,87,207,26818,"as.numeric(as.character(inc$Value))",5388,4418,1670,8142,8068,9132,6934,4868
"72",72,"WEST WIMMERA","as.numeric(as.character(cr2$Incidents.Recorded))",2,111,59,NA,NA,NA,26,21,16,124,119,296,20,NA,8,17,73,NA,31,52,9,NA,15,36,1,1,5,7,"Value",57.5,59.8,3.7,262,254,54,546,59,130,1134,596,46,337,913,3280,2554,1101,3234,37,657,1933,72,"grampians",NA,NA,NA,5,14,6,9,13,5,10,1049,"as.numeric(as.character(inc$Value))",466,504,166,878,904,1044,786,618
"73",73,"WHITEHORSE","as.numeric(as.character(cr2$Incidents.Recorded))",19,4049,1033,60,562,38,662,289,306,6796,9722,20744,3168,4,262,115,911,3,699,1165,205,7,373,1708,1,51,58,22,"Value",55.4,59.6,7,13729,31686,803,12082,1988,3251,43946,27500,4649,24753,59267,126343,87044,48748,134835,12049,14879,80308,5603,"eastern",188,141,188,196,338,393,429,340,452,415,53032,"as.numeric(as.character(inc$Value))",21100,19042,8947,23462,23186,27932,23422,19276
"74",74,"WHITTLESEA","as.numeric(as.character(cr2$Incidents.Recorded))",37,8700,1086,111,486,35,1900,885,904,2195,9307,13507,4495,4,647,333,2174,3,1437,986,222,14,920,3910,8,136,68,34,"Value",57,61.4,7.2,14732,19539,1538,23955,2686,4951,54957,28649,2291,27989,74181,153635,96943,52079,155311,6077,28173,95424,6868,"north/west",100,111,145,151,239,166,292,300,323,383,54544,"as.numeric(as.character(inc$Value))",20720,20584,8645,30034,21814,27338,28430,23426
"75",75,"WODONGA","as.numeric(as.character(cr2$Incidents.Recorded))",14,2514,500,23,43,4,390,236,418,3835,2692,7154,668,NA,177,60,668,NA,511,877,178,2,381,1645,2,14,24,24,"Value",58.3,62,6,3031,2888,497,6760,639,1010,11212,5977,620,6649,15920,28994,17947,9878,31242,605,7897,19357,1160,"hume",36,43,37,53,50,41,42,56,59,52,23054,"as.numeric(as.character(inc$Value))",4404,4886,1954,5846,5794,7442,7500,5576
"76",76,"WYNDHAM","as.numeric(as.character(cr2$Incidents.Recorded))",60,7724,1172,102,736,37,1159,773,982,3063,8126,12073,3587,2,582,381,1767,NA,1565,1627,328,11,753,4766,4,69,70,34,"Value",60.3,65.7,8.2,16407,25378,1516,23771,2697,5049,64576,28789,2846,34795,90488,162659,92801,47091,163311,11693,27982,107237,8831,"north/west",110,155,131,176,155,214,217,286,323,455,51553,"as.numeric(as.character(inc$Value))",19468,23776,10738,20998,17654,24816,27600,25008
"77",77,"YARRA","as.numeric(as.character(cr2$Incidents.Recorded))",29,6402,912,73,1025,35,686,392,329,7566,11211,14632,5476,9,1204,120,4036,1,2151,5325,277,14,548,3035,10,37,141,25,"Value",66,69.6,5.3,5891,24009,388,4993,842,2145,35363,13272,3440,19138,43492,56975,31133,16269,76983,9631,6224,53597,2814,"north/west",213,234,258,164,197,157,229,237,230,296,65701,"as.numeric(as.character(inc$Value))",6780,12476,7938,11236,9846,10774,10476,10520
"78",78,"YARRA RANGES","as.numeric(as.character(cr2$Incidents.Recorded))",32,4934,1301,55,215,19,822,496,841,7475,6717,18362,1747,NA,366,227,1423,3,1114,1531,315,4,541,2906,3,138,209,61,"Value",61.5,64.4,4.6,12823,14472,1326,25551,2325,4162,44084,26167,2908,15058,44408,122871,88301,37029,121080,3346,29201,77988,3572,"eastern",113,148,115,131,177,260,292,518,493,481,51857,"as.numeric(as.character(inc$Value))",19820,20368,8191,21380,22666,29216,26906,21546
"79",79,"YARRIAMBIACK","as.numeric(as.character(cr2$Incidents.Recorded))",4,381,113,1,2,1,67,22,32,440,360,623,65,NA,13,20,50,NA,51,164,31,NA,36,153,NA,5,10,8,"Value",46.8,49.2,4.9,414,361,75,1003,101,188,1528,911,62,571,1627,5439,4156,2371,5618,42,1176,2762,136,"grampians",15,10,8,7,14,6,10,7,7,13,2652,"as.numeric(as.character(inc$Value))",906,704,197,1610,1814,1748,1300,854
