"","X","LGA","variable.x","Homicides","Assaults","Sexual Offences","Abductions","Robberies","Blackmail","A70.Stalking..harassment.and.threatening.behaviour","A80.Dangerous.and.negligent.acts.endangering.people","B10.Arson","B20.Property.damage","B30.Burglary.Break.and.enter","B40.Theft","B50.Deception","B60.Bribery","Drug.Dealing","C20.Cultivate.or.manufacture.drugs","C30.Drug.use.and.possession","C90.Other.drug.offences","D10.Weapons.and.explosives.offences","D20.Disorderly.and.offensive.conduct","D30.Public.nuisance.offences","D40.Public.security.offences","E10.Justice.procedures","E20.Breaches.of.orders","F10.Regulatory.driving.offences","F20.Transport.regulation.offences","F30.Other.government.regulatory.offences","F90.Miscellaneous.offences","variable.y","X..Employment.to.population","X..Labour.force.participation","Unemployment.Rate","Advanced.Diploma.and.Diploma.Level","Bachelor.Degrees","Certificate.Education","Certificate.III...IV.Level","Certificate.Level..nfd","Employed..away.from.work","Employed..worked.full.time","Employed..worked.part.time","Graduate.Diploma.and.Graduate.Certificate.Level","Lived.at.different.address.1.year.ago","Lived.at.different.address.5.years.ago","Lived.at.same.address.1.year.ago","Lived.at.same.address.5.years.ago","Not.in.the.labour.force","Persons.aged.15.years.and.over","Postgraduate.Degree.Level","Total.Certificate.Level","Total.Labour.Force","Unemployed..looking.for.work","Region","X2007.08","X2008.09","X2009.10","X2010.11","X2011.12","X2012.13","X2013.14","X2014.15","X2015.16","Drug.Hospitalisations","All","variable","X.1..199.......","Low.Income.Households","High.Income.Households","X.200..299...","X.300..399","X.400..599","X.600..799","X.800..999."
"27",27,"GREATER GEELONG","as.numeric(as.character(cr2$Incidents.Recorded))",60,10924,2119,86,610,21,1702,1010,1668,519,7442,15472,4428,3,793,373,2046,6,2195,6431,421,11,1374,6937,5,72,200,47,"Value",54.2,57.9,6.4,18229,25165,2019,34746,3300,5949,58999,38630,4472,34133,86213,177291,117028,69055,191166,6141,40066,110631,7057,"barwon",166,151,185,238,303,326,881,475,660,816,66975,"as.numeric(as.character(inc$Value))",27644,26332,11175,41346,39664,44840,36864,27642
"28",28,"GREATER SHEPPARTON","as.numeric(as.character(cr2$Incidents.Recorded))",31,5176,888,55,131,19,699,484,702,7013,6979,14664,1408,1,389,214,1610,1,1315,2739,231,2,524,4207,3,25,108,40,"Value",52.8,56.4,6.4,3955,4348,588,8790,792,1714,16278,8985,968,8187,20325,48393,33577,18031,51131,922,10166,28828,1857,"hume",56,64,78,103,98,84,112,138,171,193,49658,"as.numeric(as.character(inc$Value))",7572,6972,2449,11394,10880,13526,11804,8366
"29",29,"HEPBURN","as.numeric(as.character(cr2$Incidents.Recorded))",6,564,132,9,9,2,113,57,150,794,1160,1836,96,NA,29,33,78,NA,62,111,28,1,47,240,NA,13,11,15,"Value",49.1,51.8,5.2,1315,1630,141,2145,246,492,3250,2603,398,1654,4597,12004,8533,5060,12934,524,2526,6696,345,"grampians",9,21,15,18,13,17,20,12,29,27,5596,"as.numeric(as.character(inc$Value))",1894,1526,529,3230,3404,3616,2580,1830
"30",30,"HINDMARSH","as.numeric(as.character(cr2$Incidents.Recorded))",2,266,75,1,1,1,56,27,34,264,224,415,28,NA,11,18,150,NA,57,72,12,NA,16,116,1,3,9,5,"Value",47.3,50,5.1,329,333,71,817,78,145,1410,741,60,520,1500,4691,3506,2080,4859,50,965,2429,124,"grampians",10,NA,10,5,10,7,10,6,12,10,1864,"as.numeric(as.character(inc$Value))",662,518,198,1272,1606,1554,1240,702
"31",31,"HOBSONS BAY","as.numeric(as.character(cr2$Incidents.Recorded))",19,4325,684,58,413,11,711,391,398,7305,6810,20322,2109,3,319,130,1012,NA,896,1416,190,5,461,1962,5,80,59,35,"Value",58,62,6.5,6531,12675,528,9630,1174,2144,26968,12865,2059,11738,29805,69145,47712,23339,72429,4210,11328,44911,2931,"north/west",86,80,81,90,122,147,168,201,207,234,50129,"as.numeric(as.character(inc$Value))",10198,10992,5307,14912,13420,13970,13158,11232
"32",32,"HORSHAM","as.numeric(as.character(cr2$Incidents.Recorded))",8,2013,345,16,16,1,286,119,186,2543,1378,3432,369,NA,97,42,684,NA,357,1006,156,NA,244,1377,2,6,48,53,"Value",57.3,60.2,4.9,1390,1479,227,3068,276,579,5285,3252,309,2548,6352,15481,10876,5421,15913,282,3568,9585,468,"grampians",23,17,23,32,29,27,32,28,37,31,14784,"as.numeric(as.character(inc$Value))",2312,2402,828,3538,3952,4540,4236,2884
"33",33,"HUME","as.numeric(as.character(cr2$Incidents.Recorded))",65,11984,1759,194,822,74,2265,1214,2010,377,9954,13273,5484,7,821,382,3232,1,2916,1639,404,8,1847,8683,5,156,92,66,"Value",52.8,57.8,8.7,13759,16075,1643,23413,2684,4588,49915,26526,2072,26211,66692,154035,103450,55708,153462,4502,27733,88775,7756,"north/west",182,159,142,218,258,229,275,354,407,463,69734,"as.numeric(as.character(inc$Value))",24350,20022,7989,33094,24524,28734,28504,22712
"34",34,"INDIGO","as.numeric(as.character(cr2$Incidents.Recorded))",12,356,127,4,7,1,57,52,88,417,545,1092,94,1,25,22,120,NA,101,248,34,NA,27,124,2,7,21,11,"Value",57.1,59.7,4.3,1287,1542,160,2598,224,531,4284,2668,404,1706,4674,12817,9287,4475,13104,385,2991,7821,333,"hume",NA,8,5,5,10,16,11,11,16,14,3595,"as.numeric(as.character(inc$Value))",2084,2030,714,2530,2914,3222,2840,2208
"35",35,"KINGSTON","as.numeric(as.character(cr2$Incidents.Recorded))",23,5644,1042,55,505,21,966,411,457,7461,9436,21223,3547,1,464,178,2006,3,1327,2436,214,4,738,4487,9,105,181,30,"Value",59.5,62.9,5.4,13165,21736,997,17539,2254,3542,46192,24369,3247,19167,51030,119798,83204,39402,124594,6502,20790,78347,4247,"southern",93,162,221,261,169,179,313,448,580,478,62974,"as.numeric(as.character(inc$Value))",17768,20080,9195,22220,22938,26780,24682,20284
"36",36,"KNOX","as.numeric(as.character(cr2$Incidents.Recorded))",22,5862,1275,67,451,30,859,569,648,6443,8854,21064,3331,2,630,206,2062,2,1378,1670,221,4,727,2946,2,68,122,33,"Value",60.9,64.5,5.6,13103,19918,1148,21197,2361,3618,47880,25844,2757,16614,45486,126701,93189,39952,127047,5719,24705,81929,4584,"eastern",221,274,179,172,243,385,321,388,474,389,59548,"as.numeric(as.character(inc$Value))",21184,22072,9594,21962,21988,28148,27100,23394
